feature_set,model,k,alert_rate,fraud_found,precision_at_k,recall_at_k
behavior_label_history,hist_gradient_boosting,345,0.0009995827828384674,338,0.9797101449275363,0.109349725008088
behavior_label_history,logistic_regression,345,0.0009995827828384674,334,0.9681159420289855,0.10805564542219347
behavior_label_history,no_fraud_prior,345,0.0009995827828384674,3,0.008695652173913044,0.0009705596894208993
behavior_label_history,hist_gradient_boosting,1726,0.005000811255591869,1666,0.9652375434530707,0.5389841475250728
behavior_label_history,logistic_regression,1726,0.005000811255591869,1597,0.925260718424102,0.5166612746683921
behavior_label_history,no_fraud_prior,1726,0.005000811255591869,21,0.01216685979142526,0.006793917825946296
behavior_label_history,hist_gradient_boosting,3451,0.009998725169784206,2630,0.762097942625326,0.8508573277256551
behavior_label_history,logistic_regression,3451,0.009998725169784206,2502,0.7250072442770211,0.80944678097703
behavior_label_history,no_fraud_prior,3451,0.009998725169784206,36,0.010431758910460736,0.011646716273050793
behavior_unlabeled,hist_gradient_boosting,345,0.0009995827828384674,315,0.9130434782608695,0.10190876738919444
behavior_unlabeled,logistic_regression,345,0.0009995827828384674,342,0.991304347826087,0.11064380459398253
behavior_unlabeled,no_fraud_prior,345,0.0009995827828384674,3,0.008695652173913044,0.0009705596894208993
behavior_unlabeled,hist_gradient_boosting,1726,0.005000811255591869,913,0.5289687137891078,0.29537366548042704
behavior_unlabeled,logistic_regression,1726,0.005000811255591869,772,0.44727694090382386,0.24975736007764476
behavior_unlabeled,no_fraud_prior,1726,0.005000811255591869,21,0.01216685979142526,0.006793917825946296
behavior_unlabeled,hist_gradient_boosting,3451,0.009998725169784206,974,0.28223703274413214,0.31510837916531864
behavior_unlabeled,logistic_regression,3451,0.009998725169784206,853,0.24717473196175022,0.27596247169200905
behavior_unlabeled,no_fraud_prior,3451,0.009998725169784206,36,0.010431758910460736,0.011646716273050793
phase5_baseline,hist_gradient_boosting,345,0.0009995827828384674,165,0.4782608695652174,0.05338078291814947
phase5_baseline,logistic_regression,345,0.0009995827828384674,345,1.0,0.11161436428340343
phase5_baseline,no_fraud_prior,345,0.0009995827828384674,3,0.008695652173913044,0.0009705596894208993
phase5_baseline,hist_gradient_boosting,1726,0.005000811255591869,711,0.4119351100811124,0.23002264639275316
phase5_baseline,logistic_regression,1726,0.005000811255591869,713,0.4130938586326767,0.2306696861857004
phase5_baseline,no_fraud_prior,1726,0.005000811255591869,21,0.01216685979142526,0.006793917825946296
phase5_baseline,hist_gradient_boosting,3451,0.009998725169784206,752,0.21790785279629094,0.2432869621481721
phase5_baseline,logistic_regression,3451,0.009998725169784206,756,0.21906693711967545,0.24458104173406664
phase5_baseline,no_fraud_prior,3451,0.009998725169784206,36,0.010431758910460736,0.011646716273050793
